AddressofRecordZIPCode,SnapshotDate,PrimaryAreaOfPractice,CountOfLicensees
90001,6/1/2019,Internal Medicine,0
90001,6/1/2019,Family Medicine,2
90001,6/1/2019,Pediatrics,1
90001,6/1/2019,Psychiatry,0
90001,6/1/2019,Anesthesiology,0
90001,6/1/2019,Radiology,0
90001,6/1/2019,Emergency Medicine,0
90001,6/1/2019,Obstetrics and Gynecology,0
90001,6/1/2019,Cardiology,0
90001,6/1/2019,Orthopedic Surgery,0
90001,6/1/2019,Ophthalmology,0
90001,6/1/2019,Pathology,0
90001,6/1/2019,General Surgery,0
90001,6/1/2019,Dermatology,0
90001,6/1/2019,Gastroenterology,0
90001,6/1/2019,General Practice,0
90001,6/1/2019,Neurology,0
90001,6/1/2019,Oncology,0
90001,6/1/2019,Otolaryngology,0
90001,6/1/2019,Urology,0
90001,6/1/2019,Plastic Surgery,0
90001,6/1/2019,Nephrology,0
90001,6/1/2019,Pulmonary,0
90001,6/1/2019,Physical Medicine and Rehabilitation,0
90001,6/1/2019,Infectious Disease,0
90001,6/1/2019,Endocrinology,0
90001,6/1/2019,All Other Specialties,1
90001,6/1/2019,No Response,0
90002,6/1/2019,Internal Medicine,3
90002,6/1/2019,Family Medicine,1
90002,6/1/2019,Pediatrics,2
90002,6/1/2019,Psychiatry,0
90002,6/1/2019,Anesthesiology,0
90002,6/1/2019,Radiology,0
90002,6/1/2019,Emergency Medicine,0
90002,6/1/2019,Obstetrics and Gynecology,0
90002,6/1/2019,Cardiology,0
90002,6/1/2019,Orthopedic Surgery,0
90002,6/1/2019,Ophthalmology,0
90002,6/1/2019,Pathology,0
90002,6/1/2019,General Surgery,0
90002,6/1/2019,Dermatology,0
90002,6/1/2019,Gastroenterology,0
90002,6/1/2019,General Practice,0
90002,6/1/2019,Neurology,0
90002,6/1/2019,Oncology,0
90002,6/1/2019,Otolaryngology,0
90002,6/1/2019,Urology,0
90002,6/1/2019,Plastic Surgery,0
90002,6/1/2019,Nephrology,0
90002,6/1/2019,Pulmonary,0
90002,6/1/2019,Physical Medicine and Rehabilitation,0
